request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
37,PreferredOperatorRequest,1,2760,2760,2970;-1;-1,2972;-1;-1,,,,,108.45391655041928,956.9275289670157,0:t_wait:0;t_drive:138.4539165504193;fare:100;willing:True|1:t_wait:75.87115469215905;t_drive:138.4539165504193;fare:100;willing:True,,,1,3,2835.8711546921595,2974.3250712425797,100,0
35,PreferredOperatorRequest,1,2580,2580,2990;-1;-1,2988;-1;-1,,,,,136.17123910667578,1181.7688504120974,0:t_wait:83.42882386081783;t_drive:196.17123910667578;fare:118;willing:True|1:t_wait:214.81811473306198;t_drive:166.17123910667578;fare:118;willing:True,,,1,3,2794.818114733061,3006.9878224111667,118,0
41,PreferredOperatorRequest,1,3000,3000,2977;-1;-1,2982;-1;-1,,,,,83.40450190054383,577.1723729807225,0:t_wait:30.15802126754852;t_drive:113.40450190054389;fare:100;willing:True|1:t_wait:79.67189809945603;t_drive:113.40450190054389;fare:100;willing:True,,,0,4,3030.158021267548,3143.562523168093,100,0
40,PreferredOperatorRequest,1,2940,2940,2990;-1;-1,2981;-1;-1,,,,,207.20330926693822,2611.7286438911515,0:t_wait:7.381840040901807;t_drive:237.20330926693805;fare:261;willing:True|1:t_wait:230.44441122434182;t_drive:237.20330926693805;fare:261;willing:True,,,0,2,2947.3818400409023,3184.5851493078417,261,0
36,PreferredOperatorRequest,1,2700,2700,2972;-1;-1,2985;-1;-1,,,,,147.11132383387394,1272.6774024545982,0:t_wait:142.93578037033512;t_drive:177.11132383387394;fare:127;willing:True|1:t_wait:244.32507124257882;t_drive:212.75813983387388;fare:127;willing:True,,,1,3,2974.3250712425797,3187.0832110764527,127,0
42,PreferredOperatorRequest,1,3060,3060,2986;-1;-1,2970;-1;-1,,,,,208.5752713127597,2037.3895405612639,0:t_wait:65.61792805983077;t_drive:238.57527131275947;fare:203;willing:True|1:t_wait:0;t_drive:238.57527131275947;fare:203;willing:True,,,1,0,3060,3298.5752713127613,203,0
43,PreferredOperatorRequest,1,3060,3060,2973;-1;-1,2978;-1;-1,,,,,189.79905861563583,1927.1757957450964,0:t_wait:120.6270373667694;t_drive:219.79905861563566;fare:192;willing:True|1:t_wait:232.80135840062485;t_drive:219.79905861563566;fare:192;willing:True,,,0,3,3180.6270373667694,3400.426095982406,192,0
38,PreferredOperatorRequest,1,2880,2880,2993;-1;-1,2972;-1;-1,,,,,192.06001237033513,2183.785505143543,0:t_wait:75.16881497004533;t_drive:222.06001237033524;fare:218;willing:True|1:t_wait:280.34763418232797;t_drive:222.06001237033524;fare:218;willing:True,,,1,2,3160.3476341823284,3382.407646552663,218,0
44,PreferredOperatorRequest,1,3060,3060,2967;-1;-1,2981;-1;-1,,,,,220.37879558062934,2961.6368211428808,0:t_wait:91.29543594574352;t_drive:250.37879558062923;fare:296;willing:True|1:t_wait:146.4742551580257;t_drive:250.37879558062923;fare:296;willing:True,,,1,4,3196.035573688826,3446.4143692694556,296,0
39,PreferredOperatorRequest,1,2880,2880,2992;-1;-1,2982;-1;-1,,,,,275.14926418952024,3428.3669323290324,0:t_wait:54.27810741700114;t_drive:305.1492641895202;fare:342;willing:True|1:t_wait:249.0182451600822;t_drive:305.1492641895202;fare:342;willing:True,,,1,4,3129.018245160083,3529.3291207781763,342,0
46,PreferredOperatorRequest,1,3360,3360,2976;-1;-1,2987;-1;-1,,,,,125.94386434095271,1410.1941526762305,0:t_wait:88.04621968905076;t_drive:155.9438643409526;fare:141;willing:True|1:t_wait:53.68045726417449;t_drive:155.9438643409526;fare:141;willing:True,,,0,4,3448.04621968905,3603.9900840300024,141,0
45,PreferredOperatorRequest,1,3300,3300,2982;-1;-1,2971;-1;-1,,,,,289.8986440772667,2915.378433977222,0:t_wait:0;t_drive:319.8986440772669;fare:291;willing:True|1:t_wait:0;t_drive:319.8986440772669;fare:291;willing:True,,,1,1,3300.0,3619.898644077267,291,0
49,PreferredOperatorRequest,1,3600,3600,2983;-1;-1,2977;-1;-1,,,,,14.744653285862693,122.87211071552242,0:t_wait:47.505301956450694;t_drive:44.74465328586257;fare:100;willing:True|1:t_wait:47.505301956450694;t_drive:44.74465328586257;fare:100;willing:True,,,0,1,3647.5053019564502,3692.249955242313,100,0
47,PreferredOperatorRequest,1,3420,3420,2971;-1;-1,2985;-1;-1,,,,,186.57127949046634,1654.6552573063896,0:t_wait:115.97742368378795;t_drive:216.57127949046617;fare:165;willing:True|1:t_wait:68.99396089382708;t_drive:216.57127949046617;fare:165;willing:True,,,0,0,3535.9774236837884,3752.5487031742546,165,0
52,PreferredOperatorRequest,1,3840,3840,2969;-1;-1,2992;-1;-1,,,,,54.27810741700095,753.8626030139021,0:t_wait:162.229334077761;t_drive:84.27810741700114;fare:100;willing:True|1:t_wait:54.101321210038805;t_drive:84.27810741700114;fare:100;willing:True,,,1,0,3894.101321210039,3978.3794286270404,100,0
50,PreferredOperatorRequest,1,3720,3720,2974;-1;-1,2970;-1;-1,,,,,215.12566102862468,2128.3671755038336,0:t_wait:50.704534696240444;t_drive:245.12566102862456;fare:212;willing:True|1:t_wait:37.732394587082126;t_drive:245.12566102862456;fare:212;willing:True,,,1,3,3757.7323945870826,4002.858055615709,212,0
48,PreferredOperatorRequest,1,3600,3600,2967;-1;-1,2982;-1;-1,,,,,273.29354708934926,3402.5930837155474,0:t_wait:218.2220204193709;t_drive:303.293547089349;fare:340;willing:True|1:t_wait:126.62405315578235;t_drive:303.29354708934943;fare:340;willing:True,,,0,2,3818.2220204193713,4121.51556750872,340,0
