request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
45,BrokerDecisionRequest,1,3300,3300,2982;-1;-1,2971;-1;-1,,,,,289.8986440772667,2915.378433977222,0:t_wait:0;t_drive:319.8986440772669;fare:291;add_fleet_vmt:2915.378433977222;chosen_by_broker:False|1:t_wait:0;t_drive:319.8986440772669;fare:291;add_fleet_vmt:2915.378433977222;chosen_by_broker:True,,,1,4,3300,3722.2355217915524,291,0
50,BrokerDecisionRequest,1,3720,3720,2974;-1;-1,2970;-1;-1,,,,,215.12566102862468,2128.3671755038336,0:t_wait:53.29763497137583;t_drive:245.12566102862456;fare:212;add_fleet_vmt:2551.329068578386;chosen_by_broker:True|1:t_wait:131.21787129767154;t_drive:245.12566102862502;fare:212;add_fleet_vmt:3324.1101328427203;chosen_by_broker:False,,,0,2,3773.2976349713763,4018.4232960000027,212,0
48,BrokerDecisionRequest,1,3600,3600,2967;-1;-1,2982;-1;-1,,,,,273.2935470893493,3402.5930837155474,0:t_wait:218.2220204193709;t_drive:303.293547089349;fare:340;add_fleet_vmt:6297.002262572667;chosen_by_broker:False|1:t_wait:207.75564060536317;t_drive:303.29354708934943;fare:340;add_fleet_vmt:5680.4917111709865;chosen_by_broker:True,,,1,3,3807.7556406053645,4111.0491876947135,340,0
52,BrokerDecisionRequest,1,3840,3840,2969;-1;-1,2992;-1;-1,,,,,54.27810741700095,753.8626030139021,0:t_wait:262.52461721004056;t_drive:84.27810741700068;fare:75;add_fleet_vmt:1297.3443078089697;chosen_by_broker:True|1:t_wait:123.78776031621192;t_drive:84.27810741700114;fare:75;add_fleet_vmt:1878.0646336937452;chosen_by_broker:False,,,0,2,4102.524617210041,4186.8027246270385,75,0
53,BrokerDecisionRequest,1,3840,3840,2990;-1;-1,2981;-1;-1,,,,,207.20330926693822,2611.7286438911515,0:t_wait:230.44441122434182;t_drive:237.20330926693805;fare:261;add_fleet_vmt:4532.098737427333;chosen_by_broker:False|1:t_wait:77.06827914707537;t_drive:237.20330926693805;fare:261;add_fleet_vmt:3253.964303450111;chosen_by_broker:True,,,1,4,3917.068279147076,4154.271588414014,261,0
51,BrokerDecisionRequest,1,3840,3840,2966;-1;-1,2988;-1;-1,,,,,278.91382899027775,2634.7327710788463,0:t_wait:229.98696027803135;t_drive:308.9138289902771;fare:263;add_fleet_vmt:4706.596206520946;chosen_by_broker:True|1:t_wait:269.56299811891404;t_drive:308.9138289902776;fare:263;add_fleet_vmt:5036.396521861634;chosen_by_broker:False,,,0,0,4069.9869602780304,4394.899257839737,263,0
55,BrokerDecisionRequest,1,4320,4320,2972;-1;-1,2991;-1;-1,,,,,134.87611468093908,1408.0867039019317,0:t_wait:42.23650667115089;t_drive:194.87611468093928;fare:140;add_fleet_vmt:1275.3540487826667;chosen_by_broker:True|1:t_wait:246.55577116243057;t_drive:164.87611468093928;fare:140;add_fleet_vmt:3967.815992730945;chosen_by_broker:False,,,0,0,4362.23650667115,4557.1126213520865,140,0
56,BrokerDecisionRequest,1,4320,4320,2979;-1;-1,2975;-1;-1,,,,,151.75974624928307,1224.9515235059305,0:t_wait:55.419871780626636;t_drive:181.75974624928313;fare:122;add_fleet_vmt:1686.7837883444836;chosen_by_broker:False|1:t_wait:36.17924043220319;t_drive:181.75974624928313;fare:122;add_fleet_vmt:1401.0820509171504;chosen_by_broker:True,,,1,4,4356.179240432202,4537.938986681488,122,0
54,BrokerDecisionRequest,1,4260,4260,2977;-1;-1,2992;-1;-1,,,,,290.68994856816636,2881.77744065169,0:t_wait:79.67189809945648;t_drive:320.6899485681661;fare:288;add_fleet_vmt:3434.4030676709676;chosen_by_broker:False|1:t_wait:0;t_drive:320.6899485681661;fare:288;add_fleet_vmt:2881.77744065169;chosen_by_broker:True,,,1,2,4260,4580.689948568164,288,0
57,BrokerDecisionRequest,1,4380,4380,2983;-1;-1,2966;-1;-1,,,,,323.34893081286066,2424.2986565656774,0:t_wait:47.50530195645024;t_drive:353.348930812861;fare:242;add_fleet_vmt:2820.176172869433;chosen_by_broker:True|1:t_wait:47.50530195645024;t_drive:353.348930812861;fare:242;add_fleet_vmt:2820.176172869433;chosen_by_broker:False,,,0,4,4427.505301956449,4780.854232769311,242,0
61,BrokerDecisionRequest,1,4620,4620,2979;-1;-1,2983;-1;-1,,,,,95.53311017582425,796.109251465202,0:t_wait:55.419871780626636;t_drive:125.53311017582382;fare:79;add_fleet_vmt:1257.9415163037552;chosen_by_broker:False|1:t_wait:37.42546113022854;t_drive:125.53311017582382;fare:79;add_fleet_vmt:1107.9880942171096;chosen_by_broker:True,,,1,1,4657.425461130228,4782.958571306049,79,0
59,BrokerDecisionRequest,1,4440,4440,2990;-1;-1,2981;-1;-1,,,,,207.20330926693822,2611.7286438911515,0:t_wait:139.41977141386178;t_drive:237.20330926693805;fare:261;add_fleet_vmt:4170.251669756365;chosen_by_broker:True|1:t_wait:224.8661605739444;t_drive:237.20330926693805;fare:261;add_fleet_vmt:4485.613315340688;chosen_by_broker:False,,,0,2,4579.419771413864,4816.623080680803,261,0
58,BrokerDecisionRequest,1,4440,4440,2981;-1;-1,2971;-1;-1,,,,,283.9604755859867,2389.323696549888,0:t_wait:83.15932049127969;t_drive:313.9604755859864;fare:238;add_fleet_vmt:3105.3044339772214;chosen_by_broker:False|1:t_wait:68.97806069802573;t_drive:313.9604755859864;fare:238;add_fleet_vmt:2848.326011890576;chosen_by_broker:True,,,1,0,4508.978060698024,4822.938536284012,238,0
62,BrokerDecisionRequest,1,4620,4620,2991;-1;-1,2987;-1;-1,,,,,221.9190199009194,2598.4939430683253,0:t_wait:0;t_drive:251.919019900919;fare:259;add_fleet_vmt:2598.4939430683253;chosen_by_broker:True|1:t_wait:61.393890604318585;t_drive:251.919019900919;fare:259;add_fleet_vmt:3451.186868128303;chosen_by_broker:False,,,0,0,4620,4871.919019900917,259,0
60,BrokerDecisionRequest,1,4560,4560,2973;-1;-1,2969;-1;-1,,,,,172.5497643587172,1931.331838315517,0:t_wait:200.9820240347617;t_drive:202.54976435871686;fare:193;add_fleet_vmt:4039.3234646570654;chosen_by_broker:False|1:t_wait:113.99515611491188;t_drive:202.54976435871686;fare:193;add_fleet_vmt:3248.2746763125824;chosen_by_broker:True,,,1,4,4673.99515611491,4936.528024473626,193,0
64,BrokerDecisionRequest,1,4860,4860,2966;-1;-1,2992;-1;-1,,,,,131.62933504116845,1285.4828948015352,0:t_wait:0;t_drive:161.62933504116882;fare:128;add_fleet_vmt:1285.4828948015352;chosen_by_broker:True|1:t_wait:158.42488667311773;t_drive:161.62933504116882;fare:128;add_fleet_vmt:2699.192;chosen_by_broker:False,,,0,4,4860,5021.629335041171,128,0
